Department for Transport statistics,,,,,,,,,
Vehicle Licensing Statistics (https://www.gov.uk/government/collections/vehicles-statistics),,,,,,,,,
,,,,,,,,,
Table VEH0101,,,,,,,,,
"Licensed vehicles at the end of the quarter by body type, Great Britain from 1994 Q1; also United Kingdom from 2014 Q3 ",,,,,,,,,
,,,,,,,,,
Great Britain,,,,,,,,,Thousand / Percentage
,,,Goods vehicles,,,,,,Year-on-year change in total vehicles 2
2011 Q3,"28,608.1","1,311.1","3,271.4",471.1,"3,742.5",170.6,640.0,"34,472.3",0.2
2011 Q4,"28,467.3","1,238.3","3,248.3",465.5,"3,713.8",168.1,641.2,"34,228.6",0.3
2012 Q1,"28,581.0","1,237.7","3,252.2",462.3,"3,714.5",167.6,646.4,"34,347.2",0.3
2012 Q2,"28,710.3","1,305.8","3,282.8",465.6,"3,748.4",169.1,657.3,"34,590.9",0.5
2012 Q3,"28,813.2","1,307.0","3,301.4",465.7,"3,767.1",169.0,666.2,"34,722.5",0.7
2012 Q4,"28,722.5","1,224.8","3,280.6",460.6,"3,741.2",166.3,667.5,"34,522.3",0.9
2013 Q1,"28,842.1","1,199.0","3,298.2",458.3,"3,756.4",166.1,671.7,"34,635.4",0.8
2013 Q2,"29,080.2","1,302.3","3,346.2",463.6,"3,809.9",167.2,682.4,"35,042.0",1.3
2013 Q3,"29,206.1","1,316.9","3,365.9",466.5,"3,832.4",167.1,688.2,"35,210.7",1.4
2013 Q4,"29,140.9","1,219.4","3,353.9",468.9,"3,822.8",164.5,686.9,"35,034.5",1.5
2014 Q1,"29,372.1","1,218.0","3,386.4",465.9,"3,852.3",164.1,690.8,"35,297.3",1.9
2014 Q2,"29,695.1","1,324.8","3,461.7",473.2,"3,934.9",165.6,700.9,"35,821.4",2.2
2014 Q3,"29,737.3","1,326.5","3,485.7",476.0,"3,961.7",165.6,707.5,"35,898.5",2.0
2014 Q4,"29,611.5","1,216.2","3,471.3",473.9,"3,945.2",163.1,697.2,"35,633.1",1.7
2015 Q1,"29,766.4","1,204.8","3,507.6",473.0,"3,980.6",162.6,696.0,"35,810.5",1.5
2015 Q2,"30,030.2","1,299.9","3,572.8",479.4,"4,052.2",164.2,703.5,"36,250.0",1.2
2015 Q3,"30,234.0","1,315.2","3,623.7",483.8,"4,107.5",164.3,708.6,"36,529.7",1.8
2015 Q4,"30,250.3","1,230.8","3,633.6",483.4,"4,116.9",162.7,706.8,"36,467.5",2.3
2016 Q1,"30,461.1","1,228.8","3,674.4",482.5,"4,156.9",162.1,709.2,"36,718.0",2.5
2016 Q2,"30,689.3","1,314.1","3,736.7",490.2,"4,227.0",163.4,715.7,"37,109.5",2.4
2016 Q3,"30,870.8","1,330.4","3,785.8",494.2,"4,280.0",163.4,723.5,"37,368.1",2.3
2016 Q4,"30,850.4","1,248.1","3,782.0",493.6,"4,275.6",161.5,721.2,"37,256.8",2.2
2017 Q1,"31,073.6","1,246.7","3,819.7",491.6,"4,311.3",161.0,725.2,"37,517.7",2.2
2017 Q2,"31,212.2","1,328.8","3,870.0",498.7,"4,368.7",161.7,740.9,"37,812.3",1.9
2017 Q3,"31,339.5","1,328.4","3,912.7",501.5,"4,414.1",161.0,747.1,"37,990.2",1.7
2017 Q4,"31,200.2","1,233.6","3,898.1",499.4,"4,397.5",158.4,745.3,"37,735.0",1.3
2018 Q1,"31,347.6","1,219.1","3,930.3",496.7,"4,426.9",157.5,740.0,"37,891.1",1.0
2018 Q2,"31,498.2","1,320.4","3,978.3",500.9,"4,479.3",158.0,742.3,"38,198.1",1.0
2018 Q3,"31,601.9","1,335.8","4,015.3",502.3,"4,517.6",157.3,755.5,"38,368.1",1.0
,,,,,,,,,
,,,,,,,,,
United Kingdom,,,,,,,,,Thousand / Percentage
,,,Goods vehicles,,,,,,Year-on-year change in total vehicles 2
Date,Cars,Motorcycles,Light Goods Vehicles,Heavy Goods Vehicles,Total,Buses & coaches,Other vehicles 1,Total,
2014 Q3," 30,647.6 "," 1,354.4 "," 3,585.4 ", 499.4 ," 4,084.7 ", 171.3 , 736.8 ," 36,994.8 ",.
2014 Q4," 30,513.3 "," 1,240.2 "," 3,569.6 ", 496.8 ," 4,066.4 ", 168.6 , 726.3 ," 36,714.8 ",.
2015 Q1," 30,671.8 "," 1,228.2 "," 3,607.2 ", 495.7 ," 4,102.9 ", 168.3 , 725.0 ," 36,896.2 ",.
2015 Q2," 30,944.4 "," 1,325.5 "," 3,673.9 ", 502.4 ," 4,176.3 ", 169.5 , 732.7 ," 37,348.4 ",.
2015 Q3," 31,154.3 "," 1,340.7 "," 3,726.0 ", 506.8 ," 4,232.8 ", 169.9 , 738.0 ," 37,635.8 ",1.7
2015 Q4," 31,170.7 "," 1,253.1 "," 3,736.0 ", 506.2 ," 4,242.2 ", 168.2 , 736.3 ," 37,570.6 ",2.3
2016 Q1," 31,388.7 "," 1,251.1 "," 3,778.5 ", 505.6 ," 4,284.1 ", 167.6 , 738.9 ," 37,830.5 ",2.5
2016 Q2,"31,626.3","1,339.3","3,843.2",513.8,"4,357.0",168.6,745.9,"38,237.2",2.4
2016 Q3,"31,813.9","1,355.6","3,893.6",517.9,"4,411.5",169.0,754.1,"38,504.1",2.3
2016 Q4,"31,792.3","1,270.2","3,889.7",517.1,"4,406.8",167.1,751.9,"38,388.2",2.2
2017 Q1," 32,023.8 "," 1,269.1 "," 3,929.6 ", 515.4 ," 4,445.0 ", 166.6 , 756.2 ," 38,660.7 ",2.2
2017 Q2,"32,170.4","1,354.4","3,982.1",522.9,"4,504.9",167.1,773.7,"38,970.6",1.9
2017 Q3,"32,302.8","1,354.1","4,025.8",525.7,"4,551.5",166.7,780.4,"39,155.5",1.7
2017 Q4,"32,159.9","1,255.9","4,011.3",523.3,"4,534.7",164.0,778.8,"38,893.3",1.3
2018 Q1," 32,313.9 "," 1,241.2 "," 4,045.3 ", 520.7 ," 4,566.0 ", 163.1 , 773.8 ," 39,058.0 ",1.0
2018 Q2,"32,471.3","1,345.8","4,094.7",525.2,"4,620.0",163.4,776.4,"39,377.0",1.0
2018 Q3,"32,578.2","1,361.5","4,132.8",526.7,"4,659.6",162.9,790.0,"39,552.2",1.0
,,,,,,,,,
"1. Includes rear diggers, lift trucks, rollers, ambulances, Hackney Carriages, three wheelers, tricycles and agricultural vehicles.",,,,,,,,,
2. A comparison between the stock at the end of the quarter with the stock at the end of the same quarter of the previous year.,,,,,,,,,
,,,,,,,,,
Telephone: 020 7944 3077,,,,,,,,,Source: DVLA/DfT
Email: vehicles.stats@dft.gov.uk,,,,,,,,,Last updated: 13 December 2018
Notes & definitions: https://www.gov.uk/government/publications/vehicles-statistics-guidance,,,,,,,,,Next update: April 2019
